Drogas Decomisadas	Unidad de Medida	Cantidad	Mes	Año
extasis	Kilogramo	0.01	Abril a Junio	2024
Marihuana	Kilogramo	2247	Abril a Junio	2024
Hachis	Kilogramo	0.46	Abril a Junio	2024
Crack 	Kilogramo	20.4	Abril a Junio	2024
Opio	Kilogramo	0.02	Abril a Junio	2024
Cocaina	Kilogramo	10753.11	Julio a Septiembre	2024
extasis	Kilogramo	0.53	Julio a Septiembre	2024
Marihuana	Kilogramo	1227.44	Julio a Septiembre	2024
Hachis	Kilogramo	0.22	Julio a Septiembre	2024
Crack 	Kilogramo	44.57	Julio a Septiembre	2024
Opio	Kilogramo	0	Julio a Septiembre	2024
Cocaina	Kilogramo	16048.02	Octubre a Diciembre	2024
extasis	Kilogramo	3.82	Octubre a Diciembre	2024
Marihuana	Kilogramo	1528.75	Octubre a Diciembre	2024
Hachis	Kilogramo	0	Octubre a Diciembre	2024
Crack 	Kilogramo	9.46	Octubre a Diciembre	2024
Opio	Kilogramo	10.9	Octubre a Diciembre	2024
Cocaina	Kilogramo	3.329.53	Enero a Marzo	2025
extasis	Kilogramo	0.03	Enero a Marzo	2025
Marihuana	Kilogramo	2.184.47	Enero a Marzo	2025
Hachis	Kilogramo	0.08	Enero a Marzo	2025
Crack 	Kilogramo	7.42	Enero a Marzo	2025
Opio	Kilogramo	0.11	Enero a Marzo	2025
Cocaina	Kilogramo	4598.18	Abril a Junio	2025
extasis	Kilogramo	0.08	Abril a Junio	2025
Marihuana	Kilogramo	6087.7	Abril a Junio	2025
Hachis	Kilogramo	0	Abril a Junio	2025
Crack 	Kilogramo	14.37	Abril a Junio	2025
Opio	Kilogramo	0.09	Abril a Junio	2025
