Arrestados segun edad sexo y nacionalidad	Cantidad	Mes	Año	
Dominicanos	4329	Enero a Marzo	2021	
Extranjeros	282	Enero a Marzo	2021	
Edad 1 a 17	54	Abril a Junio	2021	
Edad 18 a 25	1226	Abril a Junio	2021	
Edad 26 a 30	838	Abril a Junio	2021	
Edad 31 a 35	656	Abril a Junio	2021	
Edad 36 a 40	616	Abril a Junio	2021	
Edad 41 a 45	426	Abril a Junio	2021	
Edad 46 a 50	332	Abril a Junio	2021	
Edad 51 a mas	772	Abril a Junio	2021	
Hombres 	4830	Abril a Junio	2021	
Mujeres	90	Abril a Junio	2021	
Dominicanos	4577	Abril a Junio	2021	
Extranjeros	343	Abril a Junio	2021	
Edad 1 a 17	74	Julio a Septiembre	2021	
Edad 18 a 25	1146	Julio a Septiembre	2021	
Edad 26 a 30	760	Julio a Septiembre	2021	
Edad 31 a 35	555	Julio a Septiembre	2021	
Edad 36 a 40	510	Julio a Septiembre	2021	
Edad 41 a 45	374	Julio a Septiembre	2021	
Edad 46 a 50	272	Julio a Septiembre	2021	
Edad 51 a mas	102	Julio a Septiembre	2021	
Hombres 	4648	Julio a Septiembre	2021	
Mujeres	72	Julio a Septiembre	2021	
Dominicanos	4399	Julio a Septiembre	2021	
Extranjeros	321	Julio a Septiembre	2021	
Edad 1 a 17	88	Octubre a Diciembre	2021	
Edad 18 a 25	1214	Octubre a Diciembre	2021	
Edad 26 a 30	817	Octubre a Diciembre	2021	
Edad 31 a 35	759	Octubre a Diciembre	2021	
Edad 36 a 40	590	Octubre a Diciembre	2021	
Edad 41 a 45	448	Octubre a Diciembre	2021	
Edad 46 a 50	361	Octubre a Diciembre	2021	
Edad 51 a mas	1443	Octubre a Diciembre	2021	
Hombres 	121	Octubre a Diciembre	2021	
Mujeres	5599	Octubre a Diciembre	2021	
Dominicanos	5265	Octubre a Diciembre	2021	
Extranjeros	455	Octubre a Diciembre	2021	
Edad 1 a 17	75	Enero a Marzo	2022	
Edad 18 a 25	1480	Enero a Marzo	2022	
Edad 26 a 30	1103	Enero a Marzo	2022	
Edad 31 a 35	948	Enero a Marzo	2022	
Edad 36 a 40	884	Enero a Marzo	2022	
Edad 41 a 45	546	Enero a Marzo	2022	
Edad 46 a 50	399	Enero a Marzo	2022	
Edad 51 a mas	1413	Enero a Marzo	2022	
Hombres 	6727	Enero a Marzo	2022	
Mujeres	121	Enero a Marzo	2022	
Dominicanos	6372	Enero a Marzo	2022	
Extranjeros	476	Enero a Marzo	2022	
